TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/02/09
TIME	12:36:35
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	900.0000
LASTX	250.0000
NPOINTS	651
FIRSTY	-0.00015
MAXY	4.57906
MINY	-0.00123
XYDATA
900.0000	-1.5E-04
899.0000	4.9E-04
898.0000	0.00183
897.0000	0.00138
896.0000	9.99997E-05
895.0000	3.4E-04
894.0000	-7.8E-04
893.0000	-8.6E-04
892.0000	-9.9E-04
891.0000	-0.0011
890.0000	-4.4E-04
889.0000	2.6E-04
888.0000	0.00172
887.0000	0.0021
886.0000	0.00207
885.0000	0.00235
884.0000	8.1E-04
883.0000	9.1E-04
882.0000	7.3E-04
881.0000	1.2E-04
880.0000	-4.9E-04
879.0000	-3.1E-04
878.0000	6.1E-04
877.0000	0.00153
876.0000	0.00105
875.0000	0.00197
874.0000	0.00223
873.0000	0.00219
872.0000	0.00171
871.0000	0.00145
870.0000	0.0016
869.0000	7.8E-04
868.0000	1.7E-04
867.0000	1.1E-04
866.0000	-9.9996E-06
865.0000	-6.99996E-05
864.0000	-3.9E-04
863.0000	-5.6E-04
862.0000	-5.2E-04
861.0000	-4.9E-04
860.0000	-6.8E-04
859.0000	-9.3E-04
858.0000	-1E-03
857.0000	-9.6E-04
856.0000	-0.00113
855.0000	-0.0012
854.0000	-6E-04
853.0000	-3.5E-04
852.0000	-3.1E-04
851.0000	-4.3E-04
850.0000	-1.8E-04
849.0000	-4.00002E-05
848.0000	-5.99997E-05
847.0000	-3.4E-04
846.0000	-5.8E-04
845.0000	-6E-04
844.0000	-7.3E-04
843.0000	-6.3E-04
842.0000	-7.8E-04
841.0000	-6.4E-04
840.0000	-5.3E-04
839.0000	-1.6E-04
838.0000	-3E-05
837.0000	-1.30001E-04
836.0000	-1.39999E-04
835.0000	-2.8E-04
834.0000	-4.3E-04
833.0000	-7.09999E-04
832.0000	-6.70001E-04
831.0000	-7.49999E-04
830.0000	-6.6E-04
829.0000	-5E-04
828.0000	-4.7E-04
827.0000	-2.99999E-04
826.0000	-2.7E-04
825.0000	-2.5E-04
824.0000	-1.4E-04
823.0000	-1.4E-04
822.0000	1.4E-04
821.0000	-1.3E-04
820.0000	5.99995E-05
819.0000	2.80001E-04
818.0000	2.6E-04
817.0000	2.80001E-04
816.0000	1.1E-04
815.0000	3.5E-04
814.0000	4.29999E-04
813.0000	4.2E-04
812.0000	3.5E-04
811.0000	3.5E-04
810.0000	3.49999E-04
809.0000	3.2E-04
808.0000	2.00001E-04
807.0000	6.99997E-05
806.0000	-1.4E-04
805.0000	-2.40001E-04
804.0000	-4E-04
803.0000	-5.5E-04
802.0000	-5.40001E-04
801.0000	-3.89999E-04
800.0000	-2.20001E-04
799.0000	-8.99996E-05
798.0000	-8.00008E-05
797.0000	-1.09999E-04
796.0000	-1.1E-04
795.0000	-1.60001E-04
794.0000	-2.40001E-04
793.0000	-3.19999E-04
792.0000	-3.20001E-04
791.0000	-4.3E-04
790.0000	-4.3E-04
789.0000	-2.59999E-04
788.0000	-3.6E-04
787.0000	-3.49999E-04
786.0000	-4.2E-04
785.0000	-3E-04
784.0000	-2.7E-04
783.0000	-2.70001E-04
782.0000	-3.40001E-04
781.0000	-3.3E-04
780.0000	-2.4E-04
779.0000	-3.09999E-04
778.0000	-3.09999E-04
777.0000	-5.40001E-04
776.0000	-5.7E-04
775.0000	-6.20001E-04
774.0000	-6.7E-04
773.0000	-6.40001E-04
772.0000	-6.7E-04
771.0000	-6.8E-04
770.0000	-6.50001E-04
769.0000	-7.1E-04
768.0000	-8E-04
767.0000	-8.4E-04
766.0000	-8.5E-04
765.0000	-9.1E-04
764.0000	-0.00109
763.0000	-0.0011
762.0000	-0.00115
761.0000	-0.00108
760.0000	-0.00108
759.0000	-0.00104
758.0000	-0.00103
757.0000	-0.001
756.0000	-9.6E-04
755.0000	-0.00108
754.0000	-0.00112
753.0000	-0.00106
752.0000	-9.99999E-04
751.0000	-9.5E-04
